,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:1,Major:Petroleum Engineering,Degree Type:Bachelors,"$93,200","$187,300",67%
1,Rank:2,Major:Operations Research & Industrial Engineering,Degree Type:Bachelors,"$84,800","$170,400",28%
2,Rank:3,Major:Electrical Engineering & Computer Science (EECS),Degree Type:Bachelors,"$108,500","$159,300",46%
3,Rank:4,Major:Interaction Design,Degree Type:Bachelors,"$68,300","$155,800",55%
4,Rank:5,Major:Public Accounting,Degree Type:Bachelors,"$59,800","$147,700",47%
5,Rank:6,Major:Operations Research,Degree Type:Bachelors,"$83,500","$147,400",54%
6,Rank:7,Major:Applied Economics and Management,Degree Type:Bachelors,"$66,100","$146,400",67%
7,Rank:8,Major:Business Computing (BC),Degree Type:Bachelors,"$73,000","$143,600",-
8,Rank:9,Major:Actuarial Mathematics,Degree Type:Bachelors,"$64,300","$143,400",51%
9,Rank:10,Major:Electrical Power Engineering,Degree Type:Bachelors,"$76,100","$142,600",68%
10,Rank:11,Major:Information & Computer Science,Degree Type:Bachelors,"$58,600","$140,900",62%
11,Rank:12,Major:Aeronautics & Astronautics,Degree Type:Bachelors,"$77,600","$139,600",56%
12,Rank:13,Major:Systems Engineering,Degree Type:Bachelors,"$77,700","$139,200",53%
13,Rank:14,Major:Econometrics,Degree Type:Bachelors,"$64,200","$139,000",35%
14,Rank:15,Major:Pharmacy,Degree Type:Bachelors,"$68,600","$138,700",78%
15,Rank:16,Major:Aerospace Studies,Degree Type:Bachelors,"$55,800","$136,600",-
16,Rank:17,Major:Building Science,Degree Type:Bachelors,"$53,800","$135,900",53%
17,Rank:17,Major:Chemical Engineering,Degree Type:Bachelors,"$76,900","$135,900",55%
18,Rank:19,Major:Cognitive Science,Degree Type:Bachelors,"$68,700","$135,200",42%
19,Rank:20,Major:Actuarial Science,Degree Type:Bachelors,"$67,700","$134,400",43%
20,Rank:21,Major:Political Economy,Degree Type:Bachelors,"$65,100","$133,500",29%
21,Rank:22,Major:Computer Systems Engineering,Degree Type:Bachelors,"$79,000","$133,200",51%
22,Rank:23,Major:Electrical & Computer Engineering (ECE),Degree Type:Bachelors,"$78,100","$131,600",49%
23,Rank:24,Major:Computer Science (CS) & Engineering,Degree Type:Bachelors,"$79,400","$131,300",44%
24,Rank:24,Major:Marine Engineering,Degree Type:Bachelors,"$79,900","$131,300",60%
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:26,Major:Aeronautical Engineering,Degree Type:Bachelors,"$74,700","$131,100",66%
1,Rank:27,Major:Computer Engineering (CE),Degree Type:Bachelors,"$79,000","$131,000",46%
2,Rank:28,Major:Naval Architecture & Marine Engineering,Degree Type:Bachelors,"$74,400","$130,700",49%
3,Rank:29,Major:Entrepreneurship & Marketing,Degree Type:Bachelors,"$51,400","$129,800",45%
4,Rank:30,Major:Corporate Accounting & Finance,Degree Type:Bachelors,"$65,200","$129,700",55%
5,Rank:31,Major:Mechatronics,Degree Type:Bachelors,"$72,800","$129,600",48%
6,Rank:32,Major:Nuclear Engineering,Degree Type:Bachelors,"$76,400","$129,400",62%
7,Rank:33,Major:Electrical Engineering (EE),Degree Type:Bachelors,"$75,600","$127,700",54%
8,Rank:33,Major:Foreign Affairs,Degree Type:Bachelors,"$54,800","$127,700",36%
9,Rank:35,Major:Marine Transportation Management,Degree Type:Bachelors,"$71,100","$127,500",-
10,Rank:36,Major:Mechanical & Aeronautical Engineering,Degree Type:Bachelors,"$70,900","$126,900",60%
11,Rank:37,Major:Welding Engineering,Degree Type:Bachelors,"$81,000","$126,600",56%
12,Rank:38,Major:Instrumentation & Control Engineering,Degree Type:Bachelors,"$73,100","$126,400",-
13,Rank:39,Major:Computational & Applied Mathematics,Degree Type:Bachelors,"$75,500","$126,000",45%
14,Rank:40,Major:Electrical & Electronics Engineering (EEE),Degree Type:Bachelors,"$74,700","$125,800",56%
15,Rank:41,Major:Aerospace Engineering,Degree Type:Bachelors,"$74,300","$125,700",55%
16,Rank:42,Major:Astronomy,Degree Type:Bachelors,"$66,600","$125,400",47%
17,Rank:42,Major:Optical Science & Engineering,Degree Type:Bachelors,"$71,000","$125,400",-
18,Rank:42,Major:Quantitative Business Analysis,Degree Type:Bachelors,"$74,000","$125,400",37%
19,Rank:45,Major:Computer Science (CS) & Mathematics,Degree Type:Bachelors,"$70,500","$125,100",43%
20,Rank:46,Major:Industrial & Systems Engineering,Degree Type:Bachelors,"$73,100","$124,800",48%
21,Rank:47,Major:Economics and Mathematics,Degree Type:Bachelors,"$68,200","$124,100",35%
22,Rank:48,Major:Biomedical Engineering (BME),Degree Type:Bachelors,"$71,300","$123,600",72%
23,Rank:48,Major:Managerial Economics,Degree Type:Bachelors,"$65,200","$123,600",41%
24,Rank:50,Major:Computer Science (CS),Degree Type:Bachelors,"$75,100","$123,400",42%
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:50,Major:Physics & Astronomy,Degree Type:Bachelors,"$56,500","$123,400",36%
