,Major,EarlyCareerPay,MidCareerPay
0,Petroleum Engineering,93200,187300
1,Operations Research & Industrial Engineering,84800,170400
2,Electrical Engineering & Computer Science (EECS),108500,159300
3,Interaction Design,68300,155800
4,Public Accounting,59800,147700
5,Operations Research,83500,147400
6,Applied Economics and Management,66100,146400
7,Business Computing (BC),73000,143600
8,Actuarial Mathematics,64300,143400
9,Electrical Power Engineering,76100,142600
10,Information & Computer Science,58600,140900
11,Aeronautics & Astronautics,77600,139600
12,Systems Engineering,77700,139200
13,Econometrics,64200,139000
14,Pharmacy,68600,138700
15,Aerospace Studies,55800,136600
16,Building Science,53800,135900
17,Chemical Engineering,76900,135900
18,Cognitive Science,68700,135200
19,Actuarial Science,67700,134400
20,Political Economy,65100,133500
21,Computer Systems Engineering,79000,133200
22,Electrical & Computer Engineering (ECE),78100,131600
23,Computer Science (CS) & Engineering,79400,131300
24,Marine Engineering,79900,131300
25,Aeronautical Engineering,74700,131100
26,Computer Engineering (CE),79000,131000
27,Naval Architecture & Marine Engineering,74400,130700
28,Entrepreneurship & Marketing,51400,129800
29,Corporate Accounting & Finance,65200,129700
30,Mechatronics,72800,129600
31,Nuclear Engineering,76400,129400
32,Electrical Engineering (EE),75600,127700
33,Foreign Affairs,54800,127700
34,Marine Transportation Management,71100,127500
35,Mechanical & Aeronautical Engineering,70900,126900
36,Welding Engineering,81000,126600
37,Instrumentation & Control Engineering,73100,126400
38,Computational & Applied Mathematics,75500,126000
39,Electrical & Electronics Engineering (EEE),74700,125800
40,Aerospace Engineering,74300,125700
41,Astronomy,66600,125400
42,Optical Science & Engineering,71000,125400
43,Quantitative Business Analysis,74000,125400
44,Computer Science (CS) & Mathematics,70500,125100
45,Industrial & Systems Engineering,73100,124800
46,Economics and Mathematics,68200,124100
47,Biomedical Engineering (BME),71300,123600
48,Managerial Economics,65200,123600
49,Computer Science (CS),75100,123400
50,Physics & Astronomy,56500,123400
51,Petroleum Land Management,59300,123100
52,Bioscience,49200,123100
53,Electronics & Communications Engineering,67400,122900
